source_code,identifier,rotulo,title,date,format,description,relation
AUDIOVISUAL-C015,ES-CEDCS-ZARZA-AUDIOVISUAL-C015,C015,[Caja 15: 18 cajas de diapositivas],[s.f.],1 caja de archivo definitivo (contiene 18 cajas de diapositivas).,"Colección de material audiovisual organizada en 18 cajas de conservación reinstaladas, procedentes de un lote de diapositivas que presentaba un estado de conservación deficiente y desmembración del ordenamiento físico original. El conjunto conserva un contenedor original rotulado ""Salesianas Madrid"", así como las cartelas y etiquetas originales en cartulina con clasificaciones geográficas (""Navarra"", ""Vasconia"", ""Castilla León"", ""Castilla La Mancha"", ""Cataluña""), desprendidas de sus antiguos recipientes y con presencia de residuos de elementos adhesivos sintéticos que han sido destruidas.",AUDIOVISUAL
AUDIOVISUAL-C016,ES-CEDCS-ZARZA-AUDIOVISUAL-C016,C016,[Caja 16: 20 cajas de diapositivas],[s.f.],1 caja de archivo definitivo (contiene 20 cajas de diapositivas).,"Colección de material audiovisual integrada por diapositivas, reinstalada en 20 cajas de conservación derivadas de la transferencia de sus fundas archivadoras plásticas originales de anillas. La unidad presenta un estado de conservación deficiente debido a degradación térmica y adherencias físico-químicas de las fundas sobre las emulsiones fotográficas, habiéndose mantenido la secuencia y el ordenamiento físico primitivos para garantizar la integridad del conjunto.",AUDIOVISUAL
EXPOSICIONES-C017,ES-CEDCS-ZARZA-EXPOSICIONES-C017,C017,[Caja 17: Proyecto expositivo Kindel],[ca. 1945 - ca. 2007],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne expedientes y borradores de proyectos expositivos y culturales (1945-2007). Incluye la documentación sobre el fotógrafo Joaquín del Palacio (Kindel) y su exposición en la Fundación COAM (2007), con carpetas temáticas (""Kindel Bilbao"", ""Kindel Mallorca"", ""Kindel Extremadura""), contactos fotográficos anotados y un DVD. Se completa con el proyecto de Rafael Zarza y Diego Carrasco ""Luis Cernuda, escondido en los muros"" (2002).",EXPOSICIONES
EXPOSICIONES-C017-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C017-P001,C017-P001,[Carpeta 1: Kindel],[ca. 1945 - ca. 2007],1 carpeta de conservación,"Documentación técnica, administrativa y de comisariado para la organización de proyectos expositivos sobre el fotógrafo Joaquín del Palacio (Kindel), entre los que figura la exposición celebrada en la Fundación del Colegio Oficial de Arquitectos de Madrid (COAM) en junio de 2007. El conjunto integra las carpetas de conservación tituladas ""Kindel Bilbao"", ""Kindel arquitecto no selección"", ""gestión urgente archivos pendiente"", ""Kindel Mallorca"", ""Kindel Extremadura"" y ""1945 Extremadura 1947 propuesta de exposición"", memorias descriptivas de montaje, copias reprográficas de hojas de contactos fotográficos con anotaciones manuscritas, un soporte óptico (DVD) y el sobre rotulado ""DVD Kindel"" con documentación complementaria de gestión expositiva.",EXPOSICIONES
EXPOSICIONES-C017-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C017-P002,C017-P002,[Carpeta 2: Luis Cernuda-Escondido en los muros],2002.0,1 carpeta de conservación,"Reúne el expediente y borrador preparatorio del proyecto titulado ""Luis Cernuda, escondido en los muros"", elaborado por Rafael Zarza y Diego Carrasco en Madrid (mayo de 2002). El conjunto comprende la carpeta principal con la memoria descriptiva y la etiqueta manuscrita ""Anexo 3, una justificación posible para proyecto, materiales diversos"", acompañada de una segunda carpeta de conservación con la documentación borrador y los antecedentes de trabajo utilizados en la formulación del proyecto.",EXPOSICIONES
EXPOSICIONES-C018,ES-CEDCS-ZARZA-EXPOSICIONES-C018,C018,[Caja 18: Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)_1],[ca. 1991 - ca. 2003],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)""",EXPOSICIONES
EXPOSICIONES-C018-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C018-P001,C018-P001,[Carpeta 1: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. El conjunto contiene un ejemplar de la revista ""Número"", un ejemplar de la publicación seriada ""Colors 50"" (titulado ""Prisión"", de julio de 2002) y la carpeta de conservación rotulada ""Organismos de apoyo a presos. Apoyo organiz."", comprensiva de impresos y documentación informativa sobre asociaciones de asistencia a reclusos.",EXPOSICIONES
EXPOSICIONES-C018-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C018-P002,C018-P002,[Carpeta 2: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Agrupación de carpetas de conservación temáticas con documentación de investigación, copias reprográficas y material gráfico acumulados para el estudio de los sistemas penitenciarios, la arquitectura carcelaria y la represión política. El conjunto reúne la carpeta rotulada ""Cárceles. Imágenes varias"" junto con un póster impreso (en blanco y negro), y las carpetas tituladas ""Pintores encarcelados en el franquismo"", ""Cárceles. Architect."", ""Cárceles antiguas. Torre de Londres. Restos"", ""Cine"", ""Música"" y ""Gulag. Campos concentración nazis. Portugal. Tarrafal"".",EXPOSICIONES
EXPOSICIONES-C019,ES-CEDCS-ZARZA-EXPOSICIONES-C019,C019,[Caja 19: Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)_2],[ca. 1991 - ca. 2003],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)""",EXPOSICIONES
EXPOSICIONES-C019-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C019-P001,C019-P001,[Carpeta 1: Las otras galerías],[s.f.],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. El conjunto reúne la carpeta de compilación poética titulada ""Golpes y gritos. Compilación poemas carcelarios"", las carpetas temáticas ""Galería de ilustres"", ""Fugas"", ""Tercer mundo"" y ""Literatura"", pósters impresos e impresiones fotográficas (en blanco y negro). Se completa con seis soportes ópticos (CD-ROM) con archivos digitales y catálogos de feria/museo, rotulados ""Las otras galerías"", ""Vivan los hombres libres. MEIAC Arco 2003"", ""Encarcélate DVD"", ""Catálogo Arco MEIAC Memoriam"", ""Documento Otras Galerías 4 julio 2002"" y una unidad sin titulación legible.",EXPOSICIONES
EXPOSICIONES-C019-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C019-P002,C019-P002,[Carpeta 1: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Reúne publicaciones monográficas, fanzines de propaganda y carpetas de investigación sobre el sistema penitenciario, represión política y subcultura carcelaria. El conjunto incluye un ejemplar de la monografía ""La cárcel modelo de Barcelona (1904-2004)"", un ejemplar del fanzine ""Anarquía y comunismo, Estado chileno"" (otoño de 2017) y carpetas de conservación temáticas tituladas ""Cárceles niños"", ""Humor cómics"", ""Cárcel / drogas, tatuajes, subcultura carcelaria"", ""Cárceles españolas, cárceles franquistas, checas, campo de concentración españoles, COPEL"" y ""Reportajes, recortes, varios, cárceles"". Se completa con ejemplares de prensa plegados, fanzines ideológicos y dossiers con recortes de prensa originales y en copias reprográficas.",EXPOSICIONES
EXPOSICIONES-C020,ES-CEDCS-ZARZA-EXPOSICIONES-C020,C020,[Caja 20: Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)_3],[ca. 1991 - ca. 2003],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)""",EXPOSICIONES
EXPOSICIONES-C020-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C020-P001,C020-P001,[Carpeta 1: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Agrupación de carpetas de conservación temáticas con dossiers de prensa, impresos y copias reprográficas de investigación sobre creación artística, literatura y ámbito penitenciario. El conjunto reúne las carpetas rotuladas ""Literatura. Recortes, prensa, noticias, cárcel, varias"", ""Pintores a considerar. Arte y cárcel"", ""El Rubio"" y ""Reportajes documentales"", así como una carpeta desprovista de titulación comprensiva de recortes de prensa e impresos de trabajo.",EXPOSICIONES
EXPOSICIONES-C020-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C020-P002,C020-P002,[Carpeta 1: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Reúne publicaciones monográficas, revistas periódicas e impresos de difusión sobre temática social, política y penitenciaria. El conjunto incluye un ejemplar de la monografía ilustrada en francés ""La police des images"", un ejemplar de la revista ""Quimera"" (número 128) y un ejemplar de la publicación ""Historia 16"" (octubre de 1978) con el monográfico ""Cárceles en España"". Se completa con la publicación ""Sueño de libertad. Asociación de presos y represaliados políticos antifranquistas"" con impresos de prensa encartados, copias reprográficas a color de reproducciones artísticas, una composición gráfica atribuida a Josechu Dávila en soporte de papel vegetal rotulada ""15 céntimos impresión. Cebolla vegetal A4 Aurelio"", folletos, notas manuscritas con directorios de contactos y páginas de prensa impresa.",EXPOSICIONES
EXPOSICIONES-C021,ES-CEDCS-ZARZA-EXPOSICIONES-C021,C021,[Caja 21: Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)_4],[ca. 1991 - ca. 2003],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)""",EXPOSICIONES
EXPOSICIONES-C021-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C021-P001,C021-P001,[Carpeta 1: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Agrupación de fundas y carpetas de conservación de plástico comprensivas de documentación de trabajo e investigación preparatoria para el proyecto. El conjunto reúne copias reprográficas (monocromáticas y a color) de textos impresos con anotaciones manuscritas autógrafas sobre los soportes, recortes de prensa impresos, impresiones digitales de bocetos de diseño preparatorios y reproducciones de ilustraciones y material gráfico de trabajo.",EXPOSICIONES
EXPOSICIONES-C021-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C021-P002,C021-P002,[Carpeta 2: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Agrupación de fundas y carpetas de conservación de plástico comprensivas de documentación de trabajo e investigación preparatoria para uel proyecto. El conjunto reúne copias reprográficas (monocromáticas y a color) de textos impresos con anotaciones manuscritas autógrafas sobre los soportes, recortes de prensa impresos, impresiones digitales de bocetos de diseño preparatorios y reproducciones de ilustraciones y material gráfico de trabajo.",EXPOSICIONES
EXPOSICIONES-C022,ES-CEDCS-ZARZA-EXPOSICIONES-C022,C022,[Caja 22: Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)_5],[ca. 1991 - ca. 2003],1 caja de archivo definitivo (contiene 3 carpetas de conservación).,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)""",EXPOSICIONES
EXPOSICIONES-C022-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C022-P001,C022-P001,[Carpeta 1: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Agrupación de fundas y carpetas de conservación de plástico comprensivas de documentación de trabajo e investigación preparatoria para uel proyecto. El conjunto reúne copias reprográficas (monocromáticas y a color) de textos impresos con anotaciones manuscritas autógrafas sobre los soportes, recortes de prensa impresos, impresiones digitales de bocetos de diseño preparatorios y reproducciones de ilustraciones y material gráfico de trabajo.",EXPOSICIONES
EXPOSICIONES-C022-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C022-P002,C022-P002,[Carpeta 2: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Reúne fundas de plástico y carpetas de conservación con material preparatorio para el proyecto expositivo. El conjunto integra copias reprográficas (en blanco y negro) de planos arquitectónicos, dibujos e ilustraciones de centros carcelarios, la carpeta titulada ""La cárcel por dentro. Dibujos de Luis Quintanilla (1934)"" con prólogo de Julián Zugazagoitia y reproducciones de retratos a lápiz de reclusos, así como la copia reprográfica de la monografía ""Golpes y gritos. Poemas en la cárcel"", compilada por Daniel Pont.",EXPOSICIONES
EXPOSICIONES-C022-P003,ES-CEDCS-ZARZA-EXPOSICIONES-C022-P003,C022-P003,[Carpeta 3: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Reúne soportes audiovisuales y digitales vinculados al proyecto expositivo. El conjunto contiene una videocinta en soporte magnético (VHS) sin rotulación y siete soportes ópticos (CD-ROM) con bancos de imágenes, registros audiovisuales y catálogos de exposiciones, titulados ""Cárcel 260 imágenes + vídeo"" (16 de enero de 2002), ""Galerías del otro lado"" (tres unidades), ""Cárcel 90 primeras imágenes"", ""Dalmaz Isaiz Díaz"" y ""Arco MEIAC 2003 Obras"", junto con la funda de conservación desprovista de disco etiquetada ""Catálogo Arco MEIAC Memoria"".",EXPOSICIONES
EXPOSICIONES-C023,ES-CEDCS-ZARZA-EXPOSICIONES-C023,C023,[Caja 23: Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)_6],[ca. 1991 - ca. 2003],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)""",EXPOSICIONES
EXPOSICIONES-C023-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C023-P001,C023-P001,[Carpeta 1: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. Reúne publicaciones seriadas, monografías y material de diseño expositivo. El conjunto contiene ejemplares de la revista ""Punto de Fuga"" (número 10 de marzo de 2011 y número 11 de julio de 2012), un ejemplar en lengua portuguesa de ""Historias do cárcere"" de Juan Gómez Casas (serie ""Cadernos Peninsulares""), un ejemplar de la monografía ""You Are Under Arrest (2000-2002)"" de Jonathan Hernández y un ejemplar de la revista ""Educación y Biblioteca"" (diciembre de 1997) con el monográfico ""Servicios bibliotecarios en las prisiones"". Se completa con recortes de prensa impresos con anotaciones manuscritas, copias reprográficas y la reproducción de un plano arquitectónico en vista cenital para el diseño del espacio expositivo.",EXPOSICIONES
EXPOSICIONES-C023-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C023-P002,C023-P002,[Carpeta 2: Las otras galerías],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne materiales de investigación y documentación preparatoria acumulados para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"", elaborado en colaboración por Francisco Rivas (Kiko Rivas) y Rafael Zarza. El conjunto contiene reportajes fotográficos originales de recintos carcelarios y armamento de fabricación artesanal, tarjetas gráficas con inscripciones manuscritas tituladas ""Giovanni Barchia. Desde el abismo carcelario"", recortes de prensa, folletos y un sobre de correspondencia de Francisco Rivas dirigido a Sara Maneiro. Se completa con cinco soportes ópticos (CD-ROM) con archivos digitales y bancos de imágenes de las ferias de arte (rotulados ""Alonso Gil. Prisioneros. Óleo sobre lienzo 2002"", ""Refractor. Movidas varias a seleccionar"", ""Arco Meiac 2003 Obras"", ""Otras galerías"" y ""Fotos stand. Otras galas. Arco 2003 Montse""), así como ejemplares monográficos de los libros ""Burgos. Prisión central"" de Antonio G. Pericás, ""Prison Works"" y la publicación en francés ""Les prisons de Franco"" con elementos autoadhesivos de señalización de lectura.",EXPOSICIONES
EXPOSICIONES-C024,ES-CEDCS-ZARZA-EXPOSICIONES-C024,C024,[Caja 24: Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)_7],[ca. 1991 - ca. 2003],1 caja de archivo definitivo (contiene 1 carpeta de conservación).,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)""",EXPOSICIONES
EXPOSICIONES-C024-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C024-P001,C024-P001,[Carpeta 1: Las otras galerías. Posible proyecto final],[ca. 1991 - ca. 2003],1 carpeta de conservación,"Reúne el archivo de investigación y documentación preparatoria acumulado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el proyecto expositivo ""Las otras galerías: del panóptico de Bentham al panóptico digital (La cárcel y las bellas artes en la época moderna)"" Reúne el expediente borrador y la documentación técnica final del proyecto expositivo sobre la institución carcelaria, conservado en carpeta de plástico y con desmembración del ordenamiento físico original. El conjunto integra copias reprográficas (en blanco y negro) de textos e ilustraciones con anotaciones manuscritas autógrafas sobre los soportes, impresiones a color de piezas artísticas y espacios expositivos, ensayos de diseño de cubierta con variantes tipográficas tituladas ""Del panóptico de Bentham al panóptico digital"", alzados arquitectónicos y planos de recintos penitenciarios en vista cenital, borradores de texto con correcciones, hojas de trabajo numeradas y  listados de artistas participantes.",EXPOSICIONES
PUBLICACIONES-C025,ES-CEDCS-ZARZA-PUBLICACIONES-C025,C025,[Caja 25: La Infiltración],[ca. 2002 - ca. 2008],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne expedientes de preproducción, diseño gráfico y propaganda de las publicaciones seriadas ""La Infiltración"" y ""Refractor"" (2002-2008). El conjunto contiene maquetas de imprenta (monstruos), manuscritos autógrafos, ilustraciones de Rafael Zarza (""Un infiltrado se las ve venir""), bocetos de logotipo sobre papel de seda, collages, pasquines (""La CNT volverá a ser la leche"") y dos ejemplares del periódico ""CNT"" (2008). Se completa con dossiers de exposiciones (""Poca plata"" en el espacio Cruce), la carpeta ""Textos varios Refractor Infiltración Escoria"", un soporte magnético (disquete 3,5""), materiales de la CIA (""Conspiración Internacional Anarquista"") y la revista ""Semana"" (2002).",PUBLICACIONES
PUBLICACIONES-C025-P001,ES-CEDCS-ZARZA-PUBLICACIONES-C025-P001,C025-P001,"[Carpeta 1: Materiales de preproducción, diseño y difusión de las publicaciones ""La Infiltración""]",[ca. 2002 - ca. 2008],1 carpeta de conservación,"Agrupación de carpetas de conservación y materiales de preproducción, diseño y difusión de las publicaciones ""La Infiltración"" y ""Refractor"" (ca. 2008). Reúne la carpeta ""La Infiltración 3-8 MY"" con maquetas de imprenta (monstruos), manuscritos autógrafos del equipo editorial, ilustraciones de Rafael Zarza (""Un infiltrado se las ve venir""), bocetos anarquistas, material tridimensional (recortables y collages ""No ahorreís en pintura, Ediciones Refractarias"") y dos ejemplares de la publicación ""CNT"" (números 345 y 346 de 2008). Se completa con el pasquín ""La CNT volverá a ser la leche"", la carpeta ""Poca plata"" con papelería timbrada, un soporte magnético (disquete 3,5"") rotulado ""La Infiltración"", un sobre de conservación con el material de la exposición ""Poca plata"" celebrada en el espacio Cruce, la carpeta ""Textos varios Refractor Infiltración Escoria"" con borradores e impresos corregidos autógrafamente y pruebas preparatorias de impresión.",PUBLICACIONES
PUBLICACIONES-C025-P002,ES-CEDCS-ZARZA-PUBLICACIONES-C025-P002,C025-P002,"[Carpeta 1: ""La Infiltración"" (ca. 2002). Borradores e impresos con correcciones manuscritas autógrafas]",[ca. 2002 - ca. 2008],1 carpeta de conservación,"Carpeta de conservación en color negro sin rotular con expediente de trabajo y diseño gráfico de la publicación seriada ""La Infiltración"" (ca. 2002). Reúne borradores e impresos con correcciones manuscritas autógrafas, material gráfico e informativo sobre la CIA (""Conspiración Internacional Anarquista""), composiciones originales en collage, estudios de diseño para el cartel ""COAIN Insértate"" con fotocomposición de máquinas de pinball y bocetos del logotipo de ""La Infiltración"" trazados a lápiz sobre papel de seda. Se completa con notas manuscritas, reportajes fotográficos (en blanco y negro), impresos sueltos y un ejemplar de la revista ""Semana"" (11 de septiembre de 2002).",PUBLICACIONES
PUBLICACIONES-C026,ES-CEDCS-ZARZA-PUBLICACIONES-C026,C026,[Caja 26: Materiales Refractor],[ca. 1997 - ca. 2003],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne documentación de contexto, preproducción y materiales de difusión vinculados a la publicación ""Refractor"", Rafael Zarza, los actos en homenaje a Kiko Rivas y la exposición para el MEIAC en ARCO 2003 (1997-2003). El conjunto incluye maquetas de imprenta (monstruos) para la muestra de Grazalema (""ZRZ, 'Tan solo una ilusión'""), la funda de plástico ""CNT Revolución Española varios"", ejemplares de ""CNT"" y ""El Plante"", el sobre ""Programas, folletos varios de arte paralelo a Refractor"", la carpeta ""Diversos papeles para contextualizar el momento (1997-2003)"" y carteles a doble cara en DIN A2 de ""Las otras galerías. La cárcel y las bellas artes en la época moderna"".",PUBLICACIONES
PUBLICACIONES-C026-P001,ES-CEDCS-ZARZA-PUBLICACIONES-C026-P001,C026-P001,"[Carpeta 1: Reúne documentación de contexto, materiales de preproducción y folletos de difusión vinculados a la publicación ""Refractor""]",[ca. 1997 - ca. 2003],1 carpeta de conservación,"Reúne documentación de contexto, materiales de preproducción y folletos de difusión vinculados a la publicación ""Refractor"", el artista Rafael Zarza y los actos en homenaje a Francisco Rivas (Kiko Rivas) (1997-2003). El conjunto incluye la maqueta de preproducción (monstruo de imprenta) para la exposición de Grazalema rotulada ""ZRZ, 'Tan solo una ilusión', monstruo para expo Grazalema honor a Q"", la funda de plástico ""CNT Revolución Española varios"" con recortes de prensa, ejemplares de las publicaciones seriadas ""CNT"" y ""El Plante"", el sobre con impresos y programas de mano titulado ""Programas, folletos varios de arte paralelo a Refractor"" y la carpeta de antecedentes de Rafael Zarza ""Diversos papeles para contextualizar el momento (1997-2003)"".",PUBLICACIONES
EXPOSICIONES-C026-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C026-P002,C026-P002,"[Carpeta 2:  Pósters promocionales impresos a doble cara en formato DIN A2, ""Las otras galerías"" ]",[ca. 2003],1 carpeta de conservación,"Conjunto de pósters promocionales impresos a doble cara en formato DIN A2, titulados ""Las otras galerías. La cárcel y las bellas artes en la época moderna"" (ca. 2003). La documentación constituye el material impreso de difusión y avance del proyecto expositivo comisariado por Francisco Rivas (Kiko Rivas) y Rafael Zarza para el Museo Extremeño e Iberoamericano de Arte Contemporáneo (MEIAC), presentado en el marco de la feria de arte ARCO 2003. El impreso incluye en el anverso la reproducción gráfica de una celda penitenciaria con texto sobreimpreso y en el reverso una selección de las piezas artísticas exhibidas junto con la relación de participantes.",EXPOSICIONES
PUBLICACIONES-C027,ES-CEDCS-ZARZA-PUBLICACIONES-C027,C027,"[Caja 26: ""Archivo Refractor de Kiko Falcón Víctor Nero""]",[s.f.],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Carpeta en color granate rotulada ""Archivo Refractor de Kiko Falcón Víctor Nero"" y carpeta miscelanea  ""Acta 2. Kiko Rivas, archivo y cárcel"".",PUBLICACIONES
PUBLICACIONES-C027-P001,ES-CEDCS-ZARZA-PUBLICACIONES-C027-P001,C027-P001,"[Carpeta 1: ""Archivo Refractor de Kiko Falcón Víctor Nero""]",[s.f.],1 carpeta de conservación,"Carpeta en color granate rotulada ""Archivo Refractor de Kiko Falcón Víctor Nero"". Reúne documentación de producción editorial, difusión y registros gráficos acumulados referidos a la publicación ""Refractor"". El conjunto contiene ejemplares impresos de la publicación ""Refractor"", tarjetas de presentación (""El polizón"", ""Los refractarios"", ""Dios es negra""), el manuscrito ""El segundo salón refractario se prolonga hasta el 30 de enero"", pasquines, carteles promocionales (incluyendo el de las actividades en la sede de la calle San Carlos 13) y recortes de prensa originales y reprográficos. Se completa con el dossier informativo del ""Segundo Salón Refractario"" (1998-1999), mataeriales fotocopiados y corregidos a mano sobre ""Los Correctores"" de Kiko Rivas (1995-1998), correspondencia vinculada a Alberto García-Alix (París, 2005) y reportajes fotográficos originales de Rafael Montesinos (1998) del acto ""El estado es la obra de arte"" (calle Bocángel, Madrid), con registros del grupo musical Fac Rag Cutter.",PUBLICACIONES
